,RecipeId,new_ingredients
608,7922.0,green onions
609,7922.0,gingerroot
610,7922.0,garlic clove
611,7922.0,wine
612,7922.0,soy sauce
613,7922.0,sugar
614,7922.0,chili sauce
615,7922.0,szechwan pepper
616,7922.0,cornstarch
617,8159.0,chicken
618,8159.0,water
619,8159.0,celery
620,8159.0,tomatoes
621,8159.0,sugar
622,8159.0,green chilies
623,8159.0,oregano
624,8159.0,ground cumin
625,8159.0,msg
626,8159.0,black pepper
627,8159.0,salt
628,8159.0,chili powder
629,8159.0,cilantro
630,8159.0,thyme
631,8159.0,beer
632,8159.0,garlic cloves
633,8159.0,beef suet
634,8159.0,onions
635,8159.0,green peppers
636,8159.0,monterey jack cheese
637,8159.0,lime
638,8207.0,fresh bean sprout
639,8207.0,celery
640,8207.0,onion
641,8207.0,green onion
642,8207.0,mushroom
643,8207.0,eggs
644,8207.0,msg
645,8207.0,chicken
646,8207.0,salt
647,8207.0,cornstarch
648,8338.0,mashed potatoes
649,8338.0,butter
650,8338.0,brown sugar
651,8338.0,ground cinnamon
652,8338.0,nutmeg
653,8338.0,skim evaporated milk
654,8338.0,chicken broth
655,8338.0,onion
656,8338.0,water chestnuts
657,8338.0,chicken flavored white sauce
658,8338.0,chicken
659,8338.0,water
660,8352.0,chicken
661,8352.0,peppercorns
662,8352.0,bay leaf
663,8352.0,parsley
664,8352.0,fresh thyme
665,8352.0,onion
666,8352.0,carrot
667,8352.0,celery
668,8352.0,green pepper
669,8352.0,bow tie pasta
670,8352.0,salt
671,8352.0,pepper
672,8352.0,onion
673,8352.0,curry powder
674,8352.0,white wine
675,8352.0,water
676,8352.0,mayonnaise
677,8352.0,water
678,8352.0,pepper
679,8352.0,salt
680,8454.0,chicken
681,8454.0,evaporated milk
682,8528.0,all-purpose flour
683,8528.0,eggs
684,8528.0,salt
685,8528.0,water
686,8528.0,chicken
687,8528.0,celery
688,8528.0,carrots
689,8528.0,garlic cloves
690,8528.0,chicken broth
691,8544.0,chicken
692,8544.0,chicken breasts
693,8544.0,corn tortillas
694,8544.0,monterey jack pepper cheese
695,8544.0,monterey jack cheese
696,8545.0,chicken
697,8545.0,chicken broth
698,8545.0,white hominy
699,8545.0,onions
700,8545.0,cilantro
701,8545.0,garlic
702,8545.0,Las Palmas Green Chili Sauce
703,8545.0,El Patio jalapeno chili sauce
704,8545.0,oregano
705,8545.0,cilantro
706,8545.0,onion
707,8545.0,lemon
708,8583.0,chicken
709,8583.0,water
710,8583.0,chicken broth
711,8583.0,endive
712,8583.0,escarole
713,8583.0,onion
714,8583.0,carrot
715,8583.0,eggs
716,8583.0,parsley
717,8594.0,butter
718,8594.0,margarine
719,8594.0,eggs
720,8594.0,butter
721,8594.0,margarine
722,8594.0,onion
723,8594.0,green pepper
724,8594.0,rice
725,8594.0,shrimp
726,8594.0,chicken
727,8594.0,soy sauce
728,8594.0,peas
729,8919.0,milk
730,8919.0,cheddar cheese
731,8919.0,chicken
732,8974.0,chicken
733,8974.0,plain yogurt
734,8974.0,ginger
735,8974.0,garlic
736,8974.0,lime juice
737,8974.0,cinnamon sticks
738,8974.0,cloves
739,8974.0,cardamoms
740,8974.0,black peppercorns
741,8974.0,tomatoes
742,8974.0,fenugreek leaves
743,8974.0,white pepper
744,8974.0,butter
745,8974.0,fresh coriander
746,8984.0,chili powder
747,8984.0,bay leaf
748,8984.0,ground cloves
749,8984.0,ground cinnamon
750,8984.0,garam masala
751,8984.0,green cardamoms
752,8984.0,gingerroot
753,8984.0,garlic
754,8984.0,tomatoes
755,8984.0,salt
756,8984.0,chicken
757,8984.0,butter
758,8984.0,onions
759,8984.0,fresh coriander
760,8988.0,chicken
761,8988.0,tandoori masala
762,8988.0,garam masala
763,8988.0,lime juice
764,8988.0,cumin powder
765,8988.0,yoghurt
766,8988.0,salt
767,8988.0,tomatoes
768,8988.0,onions
769,8988.0,cashew nuts paste
770,8988.0,butter
771,8988.0,chili powder
772,9002.0,chicken
773,9002.0,tamarind pulp
774,9002.0,spicy tomato sauce
775,9002.0,olive oil
776,9002.0,canola oil
777,9002.0,onions
778,9002.0,black pepper
779,9002.0,cumin powder
780,9002.0,coriander powder
781,9002.0,salt
782,9047.0,chicken
783,9047.0,onions
784,9047.0,tomatoes
785,9047.0,green chilies
786,9047.0,cloves
787,9047.0,green cardamoms
788,9047.0,salt
789,9047.0,turmeric powder
790,9047.0,curry powder
791,9047.0,sugar
792,9047.0,canola oil
793,9106.0,fat-free mayonnaise
794,9106.0,fat free sour cream
795,9106.0,sugar
796,9106.0,lemon juice
797,9106.0,curry powder
798,9106.0,ground ginger
799,9106.0,cinnamon
800,9106.0,bibb lettuce
801,9106.0,chicken
802,9106.0,bibb lettuce
803,9106.0,pine nuts
804,9139.0,rice
805,9139.0,chicken
806,9139.0,ghee
807,9139.0,channa dal
808,9139.0,jeera powder
809,9139.0,green chilies
810,9139.0,salt
811,9139.0,cloves
812,9139.0,cardamoms
813,9196.0,chicken
814,9196.0,salt
815,9196.0,pineapple ring
816,9196.0,flour
817,9196.0,peri-peri
818,9230.0,chicken
819,9230.0,water
820,9230.0,salt
821,9230.0,Accent seasoning
822,9230.0,egg
823,9230.0,milk
824,9230.0,all-purpose flour
825,9230.0,salt
826,9230.0,pepper
827,9230.0,Accent seasoning
828,9395.0,spring onions
829,9395.0,chicken
830,9395.0,whole kernel corn
831,9395.0,oregano
832,9395.0,Mexican chili powder
833,9395.0,salt
834,9395.0,black pepper
835,9395.0,low-fat sour cream
836,9537.0,chicken
837,9537.0,chicken parts
838,9537.0,onion
839,9537.0,sweet pepper
840,9537.0,bay leaf
841,9537.0,carrot
842,9537.0,celery
843,9537.0,parsley
844,9537.0,soy sauce
845,9537.0,Worcestershire sauce
846,9777.0,hash brown potatoes
847,9777.0,chicken
848,9777.0,chicken broth
849,9871.0,chicken
850,9871.0,poppy seed
851,9871.0,garlic
852,9871.0,shallot
853,9871.0,curry powder
854,9871.0,salt
855,9871.0,chilies
856,9871.0,coconut
857,9871.0,ginger
858,9871.0,ghee
859,9871.0,cloves
860,9871.0,cinnamon sticks
861,9871.0,cashew nuts
862,9871.0,long-grain rice
863,9964.0,butter
864,9964.0,flour
865,9964.0,milk
866,9964.0,chicken broth
867,9964.0,eggs
868,9964.0,parmesan cheese
869,9964.0,salt
870,9964.0,nutmeg
871,9964.0,butter
872,9964.0,onion
873,9964.0,garlic
874,9964.0,chicken
875,9964.0,frozen broccoli cuts
876,9964.0,parsley
877,9964.0,mozzarella cheese
878,9964.0,parmesan cheese
879,10047.0,chicken
880,10047.0,pork
881,10047.0,potatoes
882,10047.0,tomatoes
883,10047.0,carrots
884,10047.0,onion
885,10256.0,chicken
886,10256.0,sugar
887,10256.0,cider vinegar
888,10256.0,cabbage
889,10256.0,onion
890,10392.0,plain yogurt
891,10392.0,lemon juice
892,10392.0,garlic
893,10392.0,vinegar
894,10392.0,onion
895,10392.0,black pepper
896,10392.0,cayenne pepper
897,10392.0,ground mace
898,10392.0,salt
899,10392.0,chicken
900,10392.0,lamb
901,10392.0,tahini
902,10392.0,garlic
903,10392.0,lemon juice
904,10392.0,parsley
905,10392.0,water
906,10392.0,tomatoes
907,10392.0,onion
908,10392.0,lettuce
909,10427.0,chicken
910,10427.0,jalapeno chiles
911,10427.0,lemons
912,10427.0,onion
913,10427.0,olive oil
914,10427.0,soy sauce
915,10486.0,broccoli stems
916,10486.0,milk
917,10486.0,cream cheese
918,10486.0,salt
919,10486.0,parmesan cheese
920,10486.0,chicken
921,10490.0,chicken
922,10490.0,flour
923,10490.0,salt
924,10490.0,pepper
925,10490.0,pineapple
926,10490.0,sugar
927,10490.0,cornstarch
928,10490.0,cider vinegar
929,10490.0,soy sauce
930,10490.0,ginger
931,10490.0,bouillon cube
932,10490.0,green pepper
933,10568.0,chicken
934,10568.0,fresh lemon juice
935,10568.0,salt
936,10568.0,onions
937,10568.0,garlic
938,10568.0,gingerroot
939,10568.0,ground fenugreek
940,10568.0,ground cardamom
941,10568.0,ground nutmeg
942,10568.0,berbere
943,10568.0,paprika
944,10568.0,dry red wine
945,10568.0,water
946,10568.0,hard-boiled eggs
947,10568.0,black pepper
948,10744.0,potato
949,10744.0,onion
950,10744.0,celery
951,10744.0,carrot
952,10744.0,margarine
953,10744.0,all-purpose flour
954,10744.0,chicken broth
955,10744.0,half-and-half
956,10744.0,salt
957,10744.0,pepper
958,10744.0,chicken
959,10752.0,chicken
960,10752.0,chickpeas
961,10752.0,garlic
962,10752.0,onion
963,10752.0,carrots
964,10752.0,tomatoes
965,10752.0,tomato puree
966,10752.0,parsley
967,10752.0,couscous
968,10752.0,olive oil
969,10783.0,chicken
970,10783.0,potato
971,10783.0,lemons
972,10783.0,olive oil
973,10786.0,all-purpose flour
974,10786.0,onion
975,10786.0,celery
976,10786.0,garlic
977,10786.0,bell pepper
